alpha,Cl
-1.002444988,0.018960743
1.42E-14,0.14108053
1.051344743,0.260743864
2.078239609,0.379188942
3.105134474,0.497634019
4.13202934,0.616079097
5.158924205,0.735747416
5.672371638,0.796804817
6.185819071,0.852969252
6.430317848,0.876160995
6.699266504,0.88833858
6.968215159,0.898069681
7.212713936,0.913921975
8.215158924,0.951638092
9.24205379,0.972223842
10.2200489,0.953675831
11.24694377,0.947350266
12.24938875,1.005861491
13.25183374,1.03012195
14.25427873,1.053159168
15.25672372,1.060294246
16.2591687,1.042964492
17.23716381,0.9779333
17.26161369,0.968142383
18.2396088,0.937361955
19.21760391,0.929823118
20.2200489,0.922279297
