alpha,Cl,Cd
-1.00244499e+00,1.89607430e-02,9.47371261e-03
1.42000000e-14,1.41080530e-01,9.43734267e-03
1.05134474e+00,2.60743864e-01,9.56087719e-03
2.07823961e+00,3.79188942e-01,9.89931672e-03
3.10513447e+00,4.97634019e-01,9.98380600e-03
4.13202934e+00,6.16079097e-01,9.98286615e-03
5.15892420e+00,7.35747416e-01,9.68019009e-03
5.67237164e+00,7.96804817e-01,9.48236782e-03
6.18581907e+00,8.52969252e-01,9.49782952e-03
6.43031785e+00,8.76160995e-01,9.46215690e-03
6.69926650e+00,8.88338580e-01,1.02110092e-02
6.96821516e+00,8.98069681e-01,1.13900889e-02
7.21271394e+00,9.13921975e-01,1.26849119e-02
8.21515892e+00,9.51638092e-01,1.56969204e-02
9.24205379e+00,9.72223842e-01,1.73408981e-02
1.02200489e+01,9.53675831e-01,1.58596542e-02
1.12469438e+01,9.47350266e-01,1.53544947e-02
1.22493887e+01,1.00586149e+00,2.00272002e-02
1.32518337e+01,1.03012195e+00,2.19646400e-02
1.42542787e+01,1.05315917e+00,2.38043919e-02
1.52567237e+01,1.06029425e+00,2.43741991e-02
1.62591687e+01,1.04296449e+00,2.29902452e-02
1.72371638e+01,9.77933300e-01,1.77968553e-02
1.72616137e+01,9.68142383e-01,1.70149528e-02
1.82396088e+01,9.37361955e-01,1.45568283e-02
1.92176039e+01,9.29823118e-01,1.39547769e-02
2.02200489e+01,9.22279297e-01,1.33523275e-02
