Alpha,Cl
-1.036432758,0.023437815
-0.006415042,0.141551295
1.04795792,0.248676524
2.053216959,0.344831433
3.107515212,0.4458554
4.1373088,0.54566509
5.167147214,0.649135538
5.706533731,0.699034407
6.196895976,0.745284471
6.736207784,0.789082076
7.226525204,0.831671382
7.741287521,0.870593954
8.255945245,0.900974758
8.746053479,0.926480528
9.015545022,0.934956552
9.211477746,0.93612899
9.260352598,0.927575268
10.24013575,0.943199482
11.26888341,0.95759149
12.27363443,1.012257811
13.27775788,1.015673522
14.28207558,1.034952517
15.23720466,1.037159929
16.26547417,1.012503854
17.21979638,0.948817625
17.24419645,0.941490133
18.22317275,0.891220706
19.17719612,0.803129425
20.15662067,0.789467576
