alpha,Cl,Cd
-1.03643276e+00,2.34378150e-02,1.16986373e-02
-6.41504200e-03,1.41551295e-01,1.21423945e-02
1.04795792e+00,2.48676524e-01,1.22169279e-02
2.05321696e+00,3.44831433e-01,1.29611045e-02
3.10751521e+00,4.45855400e-01,1.33810436e-02
4.13730880e+00,5.45665090e-01,1.34612381e-02
5.16714721e+00,6.49135538e-01,1.39652018e-02
5.70653373e+00,6.99034407e-01,1.45479799e-02
6.19689598e+00,7.45284471e-01,1.54042523e-02
6.73620778e+00,7.89082076e-01,1.61448534e-02
7.22652520e+00,8.31671382e-01,1.71297876e-02
7.74128752e+00,8.70593954e-01,1.82193817e-02
8.25594524e+00,9.00974758e-01,1.95957288e-02
8.74605348e+00,9.26480528e-01,2.12581558e-02
9.01554502e+00,9.34956552e-01,2.18171037e-02
9.21147775e+00,9.36128990e-01,2.18933566e-02
9.26035260e+00,9.27575268e-01,2.13323787e-02
1.02401358e+01,9.43199482e-01,2.23532070e-02
1.12688834e+01,9.57591490e-01,2.32892339e-02
1.22736344e+01,1.01225781e+00,2.68446201e-02
1.32777579e+01,1.01567352e+00,2.70667710e-02
1.42820756e+01,1.03495252e+00,2.83206375e-02
1.52372047e+01,1.03715993e+00,2.84642031e-02
1.62654742e+01,1.01250385e+00,2.68606222e-02
1.72197964e+01,9.48817625e-01,2.27185996e-02
1.72441965e+01,9.41490133e-01,2.22420344e-02
1.82231727e+01,8.91220706e-01,1.91405551e-02
1.91771961e+01,8.03129425e-01,1.64579022e-02
2.01566207e+01,7.89467576e-01,1.61513660e-02
