X Y
1.000000000000000000e+00 -3.699999942909926176e-04
9.974235892295837402e-01 -1.126767310779541731e-04
9.948467016220092773e-01 1.401040644850581884e-04
9.922694563865661621e-01 3.890563384629786015e-04
9.896916151046752930e-01 6.316668004728853703e-04
9.869235754013061523e-01 8.892284240573644638e-04
9.840878248214721680e-01 1.146561349742114544e-03
9.811833500862121582e-01 1.405990915372967720e-03
9.782086610794067383e-01 1.665193587541580200e-03
9.751628041267395020e-01 1.927262288518249989e-03
9.720441102981567383e-01 2.186768222600221634e-03
9.688519835472106934e-01 2.452380023896694183e-03
9.655842185020446777e-01 2.711122855544090271e-03
9.622405767440795898e-01 2.975603565573692322e-03
9.588192105293273926e-01 3.238504286855459213e-03
9.553190469741821289e-01 3.500794526189565659e-03
9.517393708229064941e-01 3.769044531509280205e-03
9.480778574943542480e-01 4.028795287013053894e-03
9.443344473838806152e-01 4.294092766940593719e-03
9.405071735382080078e-01 4.553939215838909149e-03
9.365942478179931641e-01 4.797491710633039474e-03
9.325959086418151855e-01 5.046359263360500336e-03
9.285086989402770996e-01 5.256492178887128830e-03
9.243326187133789062e-01 5.447101779282093048e-03
9.200678467750549316e-01 5.641757976263761520e-03
9.157108068466186523e-01 5.769052542746067047e-03
9.112628102302551270e-01 5.892869085073471069e-03
9.067229032516479492e-01 6.003296468406915665e-03
9.020891189575195312e-01 6.040096748620271683e-03
8.973618745803833008e-01 6.077638827264308929e-03
8.925403952598571777e-01 6.077954079955816269e-03
8.876240253448486328e-01 6.026804447174072266e-03
8.826118707656860352e-01 5.974658764898777008e-03
8.775047063827514648e-01 5.853686947375535965e-03
8.723012208938598633e-01 5.698838736861944199e-03
8.670002818107604980e-01 5.541089456528425217e-03
8.616050481796264648e-01 5.284972954541444778e-03
8.561116456985473633e-01 5.019423086196184158e-03
8.505212664604187012e-01 4.721268545836210251e-03
8.448370695114135742e-01 4.330593161284923553e-03
8.390538096427917480e-01 3.933112137019634247e-03
8.331762552261352539e-01 3.466645022854208946e-03
8.272035121917724609e-01 2.942773746326565742e-03
8.211317658424377441e-01 2.410218818113207817e-03
8.149715662002563477e-01 1.761719235219061375e-03
8.087140917778015137e-01 1.090714591555297375e-03
8.023624420166015625e-01 3.751164185814559460e-04
7.959240078926086426e-01 -4.450584237929433584e-04
7.893885374069213867e-01 -1.277596573345363140e-03
7.827689051628112793e-01 -2.211791463196277618e-03
7.760599255561828613e-01 -3.204388776794075966e-03
7.692579030990600586e-01 -4.222015850245952606e-03
