airfoil,Roughness,Re,density,viscosity,specific_dissipation_rate,turbulent_ke,Setup
naca4405,Rough,1,1.225,1.81E-05,114.5498112,0.00130205,none
naca4410,Rough,1,1.225,1.81E-05,114.5498112,0.00130205,none
naca4415,Rough,1,1.225,1.81E-05,114.5498112,0.00130205,none
naca4420,Rough,1,1.225,1.81E-05,114.5498112,0.00130205,none
naca4425,Rough,1,1.225,1.81E-05,114.5498112,0.00130205,none
naca4430,Rough,1,1.225,1.81E-05,114.5498112,0.00130205,none
naca0005,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
naca0010,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
naca0015,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
naca0020,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
naca0025,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
naca0030,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
