airfoil,Roughness,Re,density,viscosity,specific_dissipation_rate,turbulent_ke,Setup
fb90,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
fb80,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
fb70,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
fb60,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
snl-ffa-w3-560fb,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
snl-ffa-w3-480fb,,8.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
snl-ffa-w3-420fb,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
ffa-w3-360,,13.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
ffa-w3-301,,18.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
ffa-w3-241,,16.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
ffa-w3-211,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
naca0018,,10.0,1.225,1.81e-05,,,none
naca0012,,10.0,1.225,1.81e-05,,,none
naca0018,,5.00,1.225,1.81e-05,,,none
naca0018,,2.00,1.225,1.81e-05,,,none
naca0018,,1.00,1.225,1.81e-05,,,none
naca0018,,0.70,1.225,1.81e-05,,,none
naca0018,,0.36,1.225,1.81e-05,,,none
naca0018,,0.16,1.225,1.81e-05,,,none
naca0018,,0.08,1.225,1.81e-05,,,none
naca0018,,0.04,1.225,1.81e-05,,,none
naca0018,,0.02,1.225,1.81e-05,,,none
naca0018,,0.01,1.225,1.81e-05,,,none
