airfoil,Roughness,Re,density,viscosity,specific_dissipation_rate,turbulent_ke,Setup
S809,Grit,0.75,1.2,9.0e-06,114.54981120000002,0.0013020495206400003,none
du00-w-212,,3.0,1.225,1.392416666666667e-05,114.54981120000002,0.0013020495206400003,none
nlf1-0416,,4.0,1.225,1.0443125000000002e-05,460.34999999999997,0.00392448375,none
snl-ffa-w3-560fb,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
snl-ffa-w3-480fb,Rough,8,1.225,1.81E-05,114.5498112,0.00130205,none
snl-ffa-w3-420fb,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
fb90,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
fb60,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
ffa-w3-360,Rough,13,1.225,1.81E-05,114.5498112,0.00130205,none
ffa-w3-211,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
naca4403,Rough,1,1.225,1.81E-05,114.5498112,0.00130205,none
naca4416,Rough,1,1.225,1.81E-05,114.5498112,0.00130205,none
naca4430,Rough,1,1.225,1.81E-05,114.5498112,0.00130205,none
naca0018,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
naca0012,Rough,10,1.225,1.81E-05,114.5498112,0.00130205,none
naca0018,Rough,0.16,1.225,1.81E-05,114.5498112,0.00130205,none
naca0018,Rough,0.01,1.225,1.81E-05,114.5498112,0.00130205,none
