airfoil,Roughness,Re,density,viscosity,specific_dissipation_rate,turbulent_ke,Setup
L303,Clean,0.75,,,,,
L303,Clean,1.0,,,,,
L303,Clean,1.25,,,,,
L303,Grit,0.75,,,,,
L303,Grit,1.0,,,,,
L303,Grit,1.25,,,,,
LS-0417MOD,Clean,0.75,,,,,
LS-0417MOD,Clean,1.0,,,,,
LS-0417MOD,Clean,1.25,,,,,
LS-0417MOD,Clean,1.5,,,,,
LS-0417MOD,Grit,0.75,,,,,
LS-0417MOD,Grit,1.0,,,,,
LS-0417MOD,Grit,1.25,,,,,
LS-0417MOD,Grit,1.5,,,,,
LS-0421MOD,Clean,0.75,,,,,
LS-0421MOD,Clean,1.0,,,,,
LS-0421MOD,Clean,1.25,,,,,
LS-0421MOD,Grit,0.75,,,,,
LS-0421MOD,Grit,1.0,,,,,
LS-0421MOD,Grit,1.25,,,,,
NACA4415,Clean,0.75,,,,,
NACA4415,Clean,1.0,,,,,
NACA4415,Clean,1.25,,,,,
NACA4415,Clean,1.5,,,,,
NACA4415,Grit,0.75,,,,,
NACA4415,Grit,1.0,,,,,
NACA4415,Grit,1.25,,,,,
NACA4415,Grit,1.5,,,,,
S801,Clean,0.75,,,,,
S801,Clean,1.0,,,,,
S801,Clean,1.25,,,,,
S801,Clean,1.5,,,,,
S801,Grit,0.75,,,,,
S801,Grit,1.0,,,,,
S801,Grit,1.25,,,,,
S801,Grit,1.5,,,,,
S809,Clean,0.75,,,,,
S809,Clean,1.0,,,,,
S809,Clean,1.25,,,,,
S809,Clean,1.5,,,,,
S809,Grit,0.75,,,,,
S809,Grit,1.0,,,,,
S809,Grit,1.25,,,,,
S809,Grit,1.5,,,,,
S810,Clean,0.75,,,,,
S810,Clean,1.0,,,,,
S810,Clean,1.25,,,,,
S810,Clean,1.5,,,,,
S810,Grit,0.75,,,,,
S810,Grit,1.0,,,,,
S810,Grit,1.25,,,,,
S810,Grit,1.5,,,,,
S812,Clean,0.75,,,,,
S812,Clean,1.0,,,,,
S812,Clean,1.25,,,,,
S812,Clean,1.5,,,,,
S812,Grit,0.75,,,,,
S812,Grit,1.0,,,,,
S812,Grit,1.25,,,,,
S812,Grit,1.5,,,,,
S813,Clean,0.75,,,,,
S813,Clean,1.0,,,,,
S813,Clean,1.25,,,,,
S813,Clean,1.4,,,,,
S813,Grit,0.75,,,,,
S813,Grit,1.0,,,,,
S813,Grit,1.25,,,,,
S813,Grit,1.4,,,,,
S814,Clean,0.75,,,,,
S814,Clean,1.0,,,,,
S814,Clean,1.25,,,,,
S814,Clean,1.5,,,,,
S814,Grit,0.75,,,,,
S814,Grit,1.0,,,,,
S814,Grit,1.25,,,,,
S814,Grit,1.5,,,,,
S815,Clean,0.75,,,,,
S815,Clean,1.0,,,,,
S815,Clean,1.25,,,,,
S815,Clean,1.4,,,,,
S815,Grit,0.75,,,,,
S815,Grit,1.0,,,,,
S815,Grit,1.25,,,,,
S815,Grit,1.4,,,,,
S825,Clean,0.75,,,,,
S825,Clean,1.0,,,,,
S825,Clean,1.25,,,,,
S825,Grit,0.75,,,,,
S825,Grit,1.0,,,,,
S825,Grit,1.25,,,,,
du00-w-212,,3.0,1.225,1.392416666666667e-05,114.54981120000002,0.0013020495206400003,CFD2U_ref_lam
du00-w-212,,3.0,1.225,1.392416666666667e-05,114.54981120000002,0.0013020495206400003,CFD2U_ref_turb
du00-w-212,,3.0,1.225,1.392416666666667e-05,114.54981120000002,0.0013020495206400003,EXP_turb
du00-w-212,,3.0,1.225,1.392416666666667e-05,114.54981120000002,0.0013020495206400003,EXP_lam
nlf1-0416,,4.0,1.225,1.0443125000000002e-05,460.34999999999997,0.00392448375,CFD2D_ref_lam
nlf1-0416,,4.0,1.225,1.0443125000000002e-05,460.34999999999997,0.00392448375,CFD2D_ref_turb
nlf1-0416,,4.0,1.225,1.0443125000000002e-05,460.34999999999997,0.00392448375,EXP_turb
nlf1-0416,,4.0,1.225,1.0443125000000002e-05,460.34999999999997,0.00392448375,EXP_lam
ffa-w3-211,,10.0,1.2,9e-06,114.54981120000002,0.0013020495206400003,none
fb90,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
fb80,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
fb70,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
fb60,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
snl-ffa-w3-560fb,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
snl-ffa-w3-480fb,,8.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
snl-ffa-w3-420fb,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
ffa-w3-360,,13.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
ffa-w3-301,,18.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
ffa-w3-241,,16.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
ffa-w3-211,,10.0,1.225,1.81e-05,,,CFD2D_ref_Ellipsys
