airfoil,Roughness,Re,density,viscosity,specific_dissipation_rate,turbulent_ke,Setup
S809,Grit,0.75,,,,,
S809,Grit,1.0,,,,,
S809,Grit,1.25,,,,,
S809,Grit,1.5,,,,,
du00-w-212,,3.0,1.225,1.392416666666667e-05,114.54981120000002,0.0013020495206400003,CFD2U_ref_lam
du00-w-212,,3.0,1.225,1.392416666666667e-05,114.54981120000002,0.0013020495206400003,CFD2U_ref_turb
du00-w-212,,3.0,1.225,1.392416666666667e-05,114.54981120000002,0.0013020495206400003,EXP_turb
du00-w-212,,3.0,1.225,1.392416666666667e-05,114.54981120000002,0.0013020495206400003,EXP_lam
nlf1-0416,,4.0,1.225,1.0443125000000002e-05,460.34999999999997,0.00392448375,CFD2D_ref_lam
nlf1-0416,,4.0,1.225,1.0443125000000002e-05,460.34999999999997,0.00392448375,CFD2D_ref_turb
nlf1-0416,,4.0,1.225,1.0443125000000002e-05,460.34999999999997,0.00392448375,EXP_turb
nlf1-0416,,4.0,1.225,1.0443125000000002e-05,460.34999999999997,0.00392448375,EXP_lam
ffa-w3-211,,10.0,1.2,9e-06,114.54981120000002,0.0013020495206400003,none
