x y
1.000000 0.001650
0.999561 0.001828
0.998246 0.002354
0.996057 0.003208
0.992998 0.004355
0.989074 0.005756
0.984292 0.007369
0.978660 0.009154
0.972188 0.011079
0.964888 0.013123
0.956773 0.015277
0.947856 0.017545
0.938153 0.019940
0.927682 0.022484
0.916461 0.025200
0.904508 0.028112
0.891847 0.031234
0.878498 0.034574
0.864484 0.038127
0.849832 0.041876
0.834565 0.045795
0.818712 0.049849
0.802300 0.054000
0.785357 0.058210
0.767913 0.062445
0.750000 0.066677
0.731648 0.070889
0.712890 0.075071
0.693758 0.079223
0.674286 0.083348
0.654508 0.087452
0.634460 0.091537
0.614175 0.095600
0.593691 0.099627
0.573042 0.103591
0.552264 0.107457
0.531395 0.111175
0.510471 0.114687
0.489529 0.117930
0.468605 0.120841
0.447736 0.123360
0.426958 0.125435
0.406309 0.127024
0.385825 0.128099
0.365540 0.128644
0.345492 0.128658
0.325714 0.128148
0.306242 0.127132
0.287110 0.125634
0.268352 0.123679
0.250000 0.121295
0.232087 0.118509
0.214643 0.115344
0.197700 0.111825
0.181288 0.107974
0.165435 0.103813
0.150168 0.099366
0.135516 0.094661
0.121502 0.089727
0.108153 0.084599
0.095492 0.079313
0.083539 0.073908
0.072318 0.068424
0.061847 0.062896
0.052144 0.057360
0.043227 0.051846
0.035112 0.046375
0.027812 0.040967
0.021340 0.035629
0.015708 0.030366
0.010926 0.025176
0.007002 0.020053
0.003943 0.014987
0.001754 0.009965
0.000439 0.004974
0.000000 0.000000
0.000439 -0.005872
0.001754 -0.011736
0.003943 -0.017586
0.007002 -0.023418
0.010926 -0.029232
0.015708 -0.035030
0.021340 -0.040816
0.027812 -0.046595
0.035112 -0.052366
0.043227 -0.058125
0.052144 -0.063856
0.061847 -0.069538
0.072318 -0.075136
0.083539 -0.080607
0.095492 -0.085904
0.108153 -0.090973
0.121502 -0.095765
0.135516 -0.100230
0.150168 -0.104331
0.165435 -0.108037
0.181288 -0.111328
0.197700 -0.114193
0.214643 -0.116628
0.232087 -0.118631
0.250000 -0.120200
0.268352 -0.121331
0.287110 -0.122009
0.306242 -0.122213
0.325714 -0.121911
0.345492 -0.121067
0.365540 -0.119641
0.385825 -0.117595
0.406309 -0.114898
0.426958 -0.111534
0.447736 -0.107504
0.468605 -0.102830
0.489529 -0.097554
0.510471 -0.091742
0.531395 -0.085477
0.552264 -0.078854
0.573042 -0.071977
0.593691 -0.064954
0.614175 -0.057887
0.634460 -0.050870
0.654508 -0.043990
0.674286 -0.037320
0.693758 -0.030922
0.712890 -0.024851
0.731648 -0.019154
0.750000 -0.013873
0.767913 -0.009050
0.785357 -0.004725
0.802300 -0.000936
0.818712 0.002284
0.834565 0.004907
0.849832 0.006918
0.864484 0.008319
0.878498 0.009127
0.891847 0.009383
0.904508 0.009148
0.916461 0.008502
0.927682 0.007540
0.938153 0.006363
0.947856 0.005075
0.956773 0.003774
0.964888 0.002540
0.972188 0.001439
0.978660 0.000511
0.984292 -0.000227
0.989074 -0.000778
0.992998 -0.001162
0.996057 -0.001409
0.998246 -0.001555
0.999561 -0.001628
1.000000 -0.001650
