x,y
1.0,-0.0
0.9983306,0.0003636
0.9966611,0.0007264
0.9949917,0.0010884
0.9933222,0.0014496
0.9916528,0.0018101
0.9899833,0.0021698
0.9883139,0.0025287
0.9866444,0.0028868
0.984975,0.0032442
0.9833055,0.0036008
0.9816361,0.0039566
0.9799666,0.0043117
0.9782972,0.004666
0.9766277,0.0050196
0.9749583,0.0053724
0.9732888,0.0057245
0.9716194,0.0060758
0.9699499,0.0064264
0.9682805,0.0067762
0.966611,0.0071253
0.9649416,0.0074737
0.9632721,0.0078213
0.9616027,0.0081682
0.9599332,0.0085143
0.9582638,0.0088597
0.9565943,0.0092044
0.9549249,0.0095484
0.9532554,0.0098917
0.951586,0.0102342
0.9499165,0.010576
0.9482471,0.0109172
0.9465776,0.0112575
0.9449082,0.0115972
0.9432387,0.0119362
0.9415693,0.0122745
0.9398998,0.0126121
0.9382304,0.0129489
0.9365609,0.0132851
0.9348915,0.0136206
0.933222,0.0139553
0.9315526,0.0142894
0.9298831,0.0146228
0.9282137,0.0149555
0.9265442,0.0152875
0.9248748,0.0156189
0.9232053,0.0159495
0.9215359,0.0162795
0.9198664,0.0166087
0.918197,0.0169374
0.9165275,0.0172653
0.9148581,0.0175925
0.9131886,0.0179191
0.9115192,0.018245
0.9098497,0.0185703
0.9081803,0.0188949
0.9065109,0.0192188
0.9048414,0.019542
0.903172,0.0198646
0.9015025,0.0201866
0.8998331,0.0205078
0.8981636,0.0208284
0.8964942,0.0211484
0.8948247,0.0214677
0.8931553,0.0217864
0.8914858,0.0221044
0.8898164,0.0224217
0.8881469,0.0227384
0.8864775,0.0230545
0.884808,0.0233699
0.8831386,0.0236847
0.8814691,0.0239988
0.8797997,0.0243123
0.8781302,0.0246251
0.8764608,0.0249374
0.8747913,0.0252489
0.8731219,0.0255599
0.8714524,0.0258702
0.869783,0.0261799
0.8681135,0.0264889
0.8664441,0.0267973
0.8647746,0.0271051
0.8631052,0.0274123
0.8614357,0.0277188
0.8597663,0.0280247
0.8580968,0.02833
0.8564274,0.0286347
0.8547579,0.0289387
0.8530885,0.0292421
0.851419,0.029545
0.8497496,0.0298471
0.8480801,0.0301487
0.8464107,0.0304497
0.8447412,0.03075
0.8430718,0.0310497
0.8414023,0.0313488
0.8397329,0.0316473
0.8380634,0.0319452
0.836394,0.0322425
0.8347245,0.0325391
0.8330551,0.0328352
0.8313856,0.0331306
0.8297162,0.0334255
0.8280467,0.0337197
0.8263773,0.0340133
0.8247078,0.0343063
0.8230384,0.0345987
0.8213689,0.0348906
0.8196995,0.0351818
0.8180301,0.0354724
0.8163606,0.0357624
0.8146912,0.0360518
0.8130217,0.0363406
0.8113523,0.0366288
0.8096828,0.0369164
0.8080134,0.0372034
0.8063439,0.0374898
0.8046745,0.0377756
0.803005,0.0380608
0.8013356,0.0383454
0.7996661,0.0386294
0.7979967,0.0389128
0.7963272,0.0391956
0.7946578,0.0394778
0.7929883,0.0397595
0.7913189,0.0400405
0.7896494,0.0403209
0.78798,0.0406008
0.7863105,0.04088
0.7846411,0.0411586
0.7829716,0.0414367
0.7813022,0.0417142
0.7796327,0.041991
0.7779633,0.0422673
0.7762938,0.042543
0.7746244,0.0428181
0.7729549,0.0430926
0.7712855,0.0433665
0.769616,0.0436398
0.7679466,0.0439125
0.7662771,0.0441846
0.7646077,0.0444561
0.7629382,0.044727
0.7612688,0.0449974
0.7595993,0.0452671
0.7579299,0.0455363
0.7562604,0.0458048
0.754591,0.0460728
0.7529215,0.0463401
0.7512521,0.0466069
0.7495826,0.0468731
0.7479132,0.0471386
0.7462437,0.0474036
0.7445743,0.047668
0.7429048,0.0479318
0.7412354,0.048195
0.7395659,0.0484576
0.7378965,0.0487196
0.736227,0.048981
0.7345576,0.0492418
0.7328881,0.049502
0.7312187,0.0497616
0.7295492,0.0500206
0.7278798,0.050279
0.7262104,0.0505368
0.7245409,0.050794
0.7228715,0.0510506
0.721202,0.0513066
0.7195326,0.0515619
0.7178631,0.0518167
0.7161937,0.0520709
0.7145242,0.0523245
0.7128548,0.0525774
0.7111853,0.0528298
0.7095159,0.0530815
0.7078464,0.0533327
