X Y
1.000000000000000000e+00 -3.699999999999999947e-04
9.972444542440550563e-01 -9.499912157746753815e-05
9.944883868737658394e-01 1.747177491676258178e-04
9.917318924730998964e-01 4.400382612262514225e-04
9.889747919334831439e-01 6.989957789103368353e-04
9.862172640626212239e-01 9.533252236279151064e-04
9.834593611883646336e-01 1.203593315256648024e-03
9.807009393269585651e-01 1.448026200556957153e-03
9.779421578442503149e-01 1.688415701547591689e-03
9.751831011977691865e-01 1.925574531973832165e-03
9.724234034979197805e-01 2.155206818391536619e-03
9.696637057980701524e-01 2.384839104809240856e-03
9.669033838705209938e-01 2.606779482409071064e-03
9.641427715358995565e-01 2.825141382602298131e-03
9.613821592012781192e-01 3.043503282795526500e-03
9.586208923518431124e-01 3.253366911188462947e-03
9.558594000434668114e-01 3.460303162963104025e-03
9.530979077350903994e-01 3.667239414737745104e-03
9.503360205619509893e-01 3.868759365741753983e-03
9.475737138688512529e-01 4.064524824328706772e-03
9.448114071757514054e-01 4.260290282915658693e-03
9.420491004826514470e-01 4.456055741502612348e-03
9.392853408056909270e-01 4.629989943777924020e-03
9.365214544926868667e-01 4.802021424353672061e-03
9.337575681796829175e-01 4.974052904929419233e-03
9.309935196513562383e-01 5.143077007271757220e-03
9.282271647263162784e-01 5.269341848881767265e-03
9.254608098012762074e-01 5.395606690491774708e-03
9.226944548762362475e-01 5.521871532101785621e-03
9.199280999511961765e-01 5.648136373711793931e-03
9.171600664534258485e-01 5.728709539328673099e-03
9.143919037620695800e-01 5.805765984247016412e-03
9.116237410707133115e-01 5.882822429165360592e-03
9.088555783793571541e-01 5.959878874083703905e-03
9.060869043242120169e-01 6.008347396120443558e-03
9.033177566669406966e-01 6.030339070658042797e-03
9.005486090096694873e-01 6.052330745195642035e-03
8.977794613523981671e-01 6.074322419733242141e-03
8.950103136951268468e-01 6.096314094270840513e-03
8.922412195423496950e-01 6.074841253739141772e-03
8.894721344205736013e-01 6.046032055930253279e-03
8.867030492987975077e-01 6.017222858121366522e-03
8.839339641770214140e-01 5.988413660312478029e-03
8.811648790552453203e-01 5.959604462503591271e-03
8.783968091655675048e-01 5.880234192416134917e-03
8.756287995468993168e-01 5.797862276810943072e-03
8.728607899282312399e-01 5.715490361205752962e-03
8.700927803095630519e-01 5.633118445600564586e-03
8.673247706908948640e-01 5.550746529995371874e-03
8.645583478301139824e-01 5.427736388011865538e-03
8.617923427128464375e-01 5.294027477428834075e-03
8.590263375955786707e-01 5.160318566845804346e-03
8.562603324783111258e-01 5.026609656262776352e-03
8.534943273610435810e-01 4.892900745679746623e-03
8.507297033377020368e-01 4.735595059810786961e-03
8.479669859291317779e-01 4.545713776101685359e-03
8.452042685205615191e-01 4.355832492392582890e-03
8.424415511119913713e-01 4.165951208683480421e-03
8.396788337034211125e-01 3.976069924974377952e-03
8.369161162948508537e-01 3.786188641265276350e-03
8.341568136535982836e-01 3.552647517732284484e-03
8.313981695559859997e-01 3.310686520399735641e-03
8.286395254583740488e-01 3.068725523067201109e-03
8.258808813607619870e-01 2.826764525734662241e-03
8.231222372631499251e-01 2.584803528402122505e-03
8.203638754175963665e-01 2.339946507449910951e-03
8.176104257790786090e-01 2.044688197377962733e-03
8.148569761405608514e-01 1.749429887306014515e-03
8.121035265020430938e-01 1.454171577234066081e-03
8.093500768635253362e-01 1.158913267162117863e-03
8.065966272250078006e-01 8.636549570901757168e-04
8.038437148734187687e-01 5.638161274100271601e-04
8.010966791825261391e-01 2.138771406112094831e-04
7.983496434916333984e-01 -1.360618461876234812e-04
7.956026078007406577e-01 -4.860008329864411039e-04
7.928555721098480280e-01 -8.359398197852664246e-04
7.901085364189553983e-01 -1.185878806584091637e-03
7.873615007280626577e-01 -1.535817793382909368e-03
7.846216135568534478e-01 -1.937687711230090017e-03
7.818821978673927697e-01 -2.342982741865113142e-03
7.791427821779324248e-01 -2.748277772500118052e-03
7.764033664884718577e-01 -3.153572803135122962e-03
7.736639507990112907e-01 -3.558867833770154761e-03
7.709245351095507237e-01 -3.964162864405159671e-03
7.681897278469995705e-01 -4.398859045534168205e-03
7.654576827744851153e-01 -4.851177631565041504e-03
7.627256377019705491e-01 -5.303496217595914802e-03
7.599935926294560939e-01 -5.755814803626788101e-03
7.572615475569415278e-01 -6.208133389657661400e-03
7.545295024844270726e-01 -6.660451975688524290e-03
7.517987976279080220e-01 -7.120461002216203587e-03
7.490748019523205681e-01 -7.618968716199978064e-03
7.463508062767332252e-01 -8.117476430183763816e-03
7.436268106011458823e-01 -8.615984144167514874e-03
7.409028149255585394e-01 -9.114491858151288484e-03
7.381788192499711965e-01 -9.612999572135075971e-03
7.354548235743836315e-01 -1.011150728611886172e-02
7.327358324015027513e-01 -1.063612379428203331e-02
7.300205724200271584e-01 -1.118020615433115011e-02
7.273053124385514545e-01 -1.172428851438029121e-02
7.245900524570758616e-01 -1.226837087442940628e-02
7.218747924756000467e-01 -1.281245323447854738e-02
7.191595324941243428e-01 -1.335653559452767460e-02
7.164442725126486389e-01 -1.390061795457680355e-02
7.137364518197091279e-01 -1.448039397983815618e-02
7.110299139494252740e-01 -1.506632498109920087e-02
7.083233760791413092e-01 -1.565225598236022822e-02
7.056168382088574553e-01 -1.623818698362128679e-02
7.029103003385733794e-01 -1.682411798488234189e-02
7.002037624682894146e-01 -1.741004898614340046e-02
6.974974679058969507e-01 -1.799706547046589500e-02
6.947997793061232441e-01 -1.862247621563255240e-02
6.921020907063490935e-01 -1.924788696079927572e-02
6.894044021065752759e-01 -1.987329770596595394e-02
6.867067135068013473e-01 -2.049870845113264603e-02
6.840090249070274186e-01 -2.112411919629935547e-02
6.813113363072536011e-01 -2.174952994146601634e-02
