X Y
1.000000000000000222e+00 -3.445316789728783683e-17
9.996793259977501123e-01 9.035548851563384061e-05
9.993250187351080394e-01 1.902508315374039729e-04
9.989372763039510161e-01 2.997300520789899429e-04
9.985163098350968713e-01 4.188809302012235034e-04
9.980623461980756561e-01 5.478440631022985820e-04
9.975756308830560082e-01 6.868225364846336457e-04
9.970564310566430999e-01 8.360921794497084333e-04
9.965050387669850407e-01 9.960123203743595326e-04
9.959217486306409794e-01 1.166950858261136571e-03
9.953067947031571938e-01 1.349072282337754726e-03
9.946603920897579831e-01 1.542477384046719120e-03
9.939827476055375088e-01 1.747239044247497416e-03
9.932740582941248508e-01 1.963397251802596541e-03
9.925345099053700659e-01 2.190953984339644774e-03
9.917642753346063156e-01 2.429867959793953567e-03
9.909635130260120439e-01 2.680049267206744031e-03
9.901323653425552207e-01 2.941353885115036235e-03
9.892709569049519258e-01 3.213578095747185708e-03
9.883793929020495694e-01 3.496452803099850664e-03
9.874577573749933057e-01 3.789637762844786251e-03
9.865061122363986135e-01 4.092718301420641448e-03
9.855245324983793465e-01 4.405324630487755279e-03
9.845131294835612890e-01 4.727210472083130319e-03
9.834720084391844752e-01 5.058109592505359749e-03
9.824012642528038297e-01 5.397721338563673046e-03
9.813009808209084417e-01 5.745708541622292567e-03
9.801712304138381349e-01 6.101695409337606207e-03
9.790120730377050995e-01 6.465265407450189461e-03
9.778235557940199163e-01 6.835959133959573428e-03
9.766057122377141964e-01 7.213272187960323260e-03
9.753585617342295233e-01 7.596653035383957135e-03
9.740821088163400532e-01 7.985500873840796141e-03
9.727763425413500364e-01 8.379163498724804746e-03
9.714412375759789997e-01 8.776940469106160603e-03
9.700768240390821306e-01 9.178297215142336429e-03
9.686832218960160779e-01 9.582970413387886105e-03
9.672605615114409083e-01 9.990724080518252961e-03
9.658089777652962837e-01 1.040133136007930816e-02
9.643286102982747687e-01 1.081457511761474075e-02
9.628196037555478703e-01 1.123024853160598142e-02
9.612821080285812725e-01 1.164815567983347455e-02
9.597162784948626291e-01 1.206811212077006819e-02
9.581222762553793793e-01 1.248994546963049825e-02
9.565002683696749441e-01 1.291349596870626330e-02
9.548504280883366446e-01 1.333861705162520984e-02
9.531729350827483627e-01 1.376517590118073175e-02
9.514679753226665815e-01 1.419305456334419256e-02
9.497357311254042145e-01 1.462216687337239765e-02
9.479763787104377171e-01 1.505246327550954777e-02
9.461900988278973967e-01 1.548391459556420525e-02
9.443770775364768166e-01 1.591651165465912676e-02
9.425375063599167325e-01 1.635026586812644150e-02
9.406715824407761994e-01 1.678520983409561435e-02
9.387795086914022535e-01 1.722139791142220100e-02
