alpha,Cl,Cd
-1.61335000e+01,-4.54991000e-01,1.07207887e-02
-1.53049000e+01,-1.15964000e+00,3.27928546e-02
-1.42923000e+01,-1.13225000e+00,3.11820013e-02
-1.32336000e+01,-1.03580000e+00,2.55096099e-02
-1.22209000e+01,-9.25532000e-01,1.91192879e-02
-1.12083000e+01,-8.24470000e-01,1.51768297e-02
-1.01496000e+01,-7.23419000e-01,1.38319906e-02
-9.18297000e+00,-6.13138000e-01,1.23802429e-02
-8.17031000e+00,-5.02867000e-01,1.11326628e-02
-7.11162000e+00,-3.83399000e-01,1.01211850e-02
-6.14499000e+00,-2.63909000e-01,9.30675527e-03
-5.08631000e+00,-1.44441000e-01,8.31176733e-03
-4.11968000e+00,-2.49509000e-02,7.31096818e-03
-3.06099000e+00,9.45176000e-02,6.55793147e-03
-2.04833000e+00,2.13997000e-01,6.21359674e-03
-1.03567000e+00,3.33476000e-01,6.01141050e-03
-2.30150000e-02,4.52955000e-01,5.93551019e-03
9.89643000e-01,5.67830000e-01,5.93233247e-03
2.04833000e+00,6.82694000e-01,6.12237293e-03
3.01496000e+00,7.88371000e-01,6.15920541e-03
4.07365000e+00,8.98631000e-01,6.66031194e-03
5.08631000e+00,1.00890000e+00,7.54112722e-03
6.05293000e+00,1.10997000e+00,8.60256755e-03
7.11162000e+00,1.21563000e+00,9.59183162e-03
8.17031000e+00,1.32128000e+00,1.06367456e-02
9.18297000e+00,1.41774000e+00,1.15274169e-02
1.01956000e+01,1.50960000e+00,1.30590783e-02
1.12543000e+01,1.59683000e+00,1.49168905e-02
1.22209000e+01,1.67028000e+00,1.73775766e-02
1.32336000e+01,1.73451000e+00,2.08016947e-02
1.42463000e+01,1.76650000e+00,2.38189111e-02
1.51669000e+01,1.34270000e+00,1.08399205e-02
1.61335000e+01,1.29183000e+00,1.03434183e-02
1.71461000e+01,1.23634000e+00,9.79072787e-03
